anonymous_user_id,group_code,session_id,event_type,task_id,word_count,char_count,hour_of_day,day_of_week,timestamp,survey_completed_at
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,35,,,6,Friday,2026-02-27T06:55:42.011955+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,36,,,6,Friday,2026-02-27T06:55:42.832004+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,37,,,6,Friday,2026-02-27T06:55:43.499345+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,38,,,6,Friday,2026-02-27T06:55:44.208403+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,39,,,6,Friday,2026-02-27T06:55:45.411634+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,final_stage_reached,,,,6,Friday,2026-02-27T06:55:45.419726+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,survey_completed,,,,6,Friday,2026-02-27T06:56:02.552587+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,survey_completed,,,,7,Friday,2026-02-27T07:06:55.352403+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,unknown,experiment_completed,,,,7,Friday,2026-02-27T07:07:00.397836+00:00,
2c624232cdd22177,MC_001,unknown,experiment_completed,,,,7,Friday,2026-02-27T07:07:00.400866+00:00,
